index,speaker,split,utt_id,target_word,wav_head_path,best_epsilon,best_steps,baseline_raw_prediction,baseline_mapped_prediction,baseline_target_rank,baseline_target_distance,best_assisted_raw_prediction,best_assisted_mapped_prediction,best_target_rank,best_target_distance,recovered,rank_improved,distance_improved,original_audio,assisted_audio
0,F03,test,160,yankee,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session3\wav_headMic\0160.wav,0.00014,3,into,in,310,5.0,intu,yankee,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0000_F03_test_160_yankee_eps0.00014_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0000_F03_test_160_yankee_eps0.00014_k3_adv.wav
1,F03,test,138,hitting,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session2\wav_headMic\0138.wav,0.00018,3,harry,hair,301,6.0,helling,hitting,1,3,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0001_F03_test_138_hitting_eps0.00018_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0001_F03_test_138_hitting_eps0.00018_k3_adv.wav
2,M02,test,221,fitting,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session2\wav_headMic\0221.wav,0.00016,3,fe do,fed,295,6.0,frifting,fitting,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0002_M02_test_221_fitting_eps0.00016_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0002_M02_test_221_fitting_eps0.00016_k3_adv.wav
3,M02,test,193,though,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0193.wav,0.0001,3,lo,go,281,5.0,no,though,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0003_M02_test_193_though_eps0.00010_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0003_M02_test_193_though_eps0.00010_k3_adv.wav
4,F03,test,7,stubble,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session1\wav_headMic\0007.wav,0.00016,3,stepa,steer,273,5.0,scubble,stubble,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0004_F03_test_7_stubble_eps0.00016_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0004_F03_test_7_stubble_eps0.00016_k3_adv.wav
5,F04,dev,163,eight,D:\audio_adv_experiment\datasets\TORGO.F\F04\Session2\wav_headMic\0163.wav,0.00014,3,kate,ate,270,5.0,eight,eight,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0005_F04_dev_163_eight_eps0.00014_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0005_F04_dev_163_eight_eps0.00014_k3_adv.wav
6,M02,test,166,single,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0166.wav,0.0001,3,thino,thigh,268,5.0,thinglo,single,1,3,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0006_M02_test_166_single_eps0.00010_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0006_M02_test_166_single_eps0.00010_k3_adv.wav
7,M03,test,272,thought,D:\audio_adv_experiment\datasets\TORGO.M\M03\Session2\wav_headMic\0272.wav,8e-05,3,trot,toot,249,4.0,thought,thought,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0007_M03_test_272_thought_eps0.00008_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0007_M03_test_272_thought_eps0.00008_k3_adv.wav
8,M02,test,39,sticks,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0039.wav,0.00012,2,star,start,241,4.0,steks,sticks,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0008_M02_test_39_sticks_eps0.00012_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0008_M02_test_39_sticks_eps0.00012_k2_adv.wav
9,M04,test,212,urgent,D:\audio_adv_experiment\datasets\TORGO.M\M04\Session2\wav_headMic\0212.wav,0.0002,3,rgi,go,231,4.0,urgent,urgent,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0009_M04_test_212_urgent_eps0.00020_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0009_M04_test_212_urgent_eps0.00020_k3_adv.wav
10,M03,test,17,warm,D:\audio_adv_experiment\datasets\TORGO.M\M03\Session2\wav_headMic\0017.wav,0.00018,2,on,in,229,4.0,warm,warm,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0010_M03_test_17_warm_eps0.00018_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0010_M03_test_17_warm_eps0.00018_k2_adv.wav
11,M02,test,204,urgent,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0204.wav,0.00016,3,egin,in,222,4.0,urgen,urgent,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0011_M02_test_204_urgent_eps0.00016_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0011_M02_test_204_urgent_eps0.00016_k3_adv.wav
12,F01,dev,49,two,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0049.wav,0.0001,3,kill,bill,214,4.0,two,two,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0012_F01_dev_49_two_eps0.00010_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0012_F01_dev_49_two_eps0.00010_k3_adv.wav
13,M05,test,116,side,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0116.wav,0.00014,3,frad,bad,202,4.0,side,side,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0013_M05_test_116_side_eps0.00014_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0013_M05_test_116_side_eps0.00014_k3_adv.wav
14,F03,test,173,red,D:\audio_adv_experiment\datasets\TORGO.F\F03\Session3\wav_headMic\0173.wav,8e-05,2,late,ate,202,4.0,rec,red,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0014_F03_test_173_red_eps0.00008_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0014_F03_test_173_red_eps0.00008_k2_adv.wav
15,M05,test,71,forward,D:\audio_adv_experiment\datasets\TORGO.M\M05\Session2\wav_headMic\0071.wav,0.0002,2,of foit,fruit,197,7.0,ofor wait,forward,1,4,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0015_M05_test_71_forward_eps0.00020_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0015_M05_test_71_forward_eps0.00020_k2_adv.wav
16,M03,test,237,light,D:\audio_adv_experiment\datasets\TORGO.M\M03\Session2\wav_headMic\0237.wav,0.0002,3,late,ate,184,4.0,light,light,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0016_M03_test_237_light_eps0.00020_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0016_M03_test_237_light_eps0.00020_k3_adv.wav
17,F01,dev,37,rake,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0037.wav,0.0002,3,link,lick,184,4.0,rak,rake,1,1,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0017_F01_dev_37_rake_eps0.00020_k3_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0017_F01_dev_37_rake_eps0.00020_k3_adv.wav
18,M01,test,281,pit,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0281.wav,0.00016,2,geed,feed,176,4.0,pit,pit,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0018_M01_test_281_pit_eps0.00016_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0018_M01_test_281_pit_eps0.00016_k2_adv.wav
19,M01,test,171,cart,D:\audio_adv_experiment\datasets\TORGO.M\M01\Session2_3\wav_headMic\0171.wav,0.00012,2,timed,tie,171,5.0,cart,cart,1,0,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0019_M01_test_171_cart_eps0.00012_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0019_M01_test_171_cart_eps0.00012_k2_adv.wav
20,M02,test,195,floor,D:\audio_adv_experiment\datasets\TORGO.M\M02\Session1\wav_headMic\0195.wav,0.00018,2,law,jaw,166,4.0,flore,floor,1,2,1,True,True,D:\audio_adv_experiment\datasets\audio_examples\original\0020_M02_test_195_floor_eps0.00018_k2_orig.wav,D:\audio_adv_experiment\datasets\audio_examples\assisted\0020_M02_test_195_floor_eps0.00018_k2_adv.wav
