experiment,split,budget,wrong_inputs,repaired_inputs,repair_rate,repair_ci_low,repair_ci_high,baseline_correct,total_inputs,baseline_accuracy,assisted_accuracy,mean_queries_all_failures,median_queries_all_failures,mean_queries_successes,median_queries_successes
10-word,dev,1,7,3,0.42857142857142855,0.14285714285714285,0.8571428571428571,17,24,0.7083333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
10-word,dev,3,7,4,0.5714285714285714,0.2857142857142857,0.8571428571428571,17,24,0.7083333333333334,0.875,2.0,2.0,1.25,1.0
10-word,dev,5,7,4,0.5714285714285714,0.14285714285714285,0.8571428571428571,17,24,0.7083333333333334,0.875,2.857142857142857,2.0,1.25,1.0
10-word,dev,10,7,4,0.5714285714285714,0.14285714285714285,0.8571428571428571,17,24,0.7083333333333334,0.875,5.0,2.0,1.25,1.0
10-word,dev,14,7,4,0.5714285714285714,0.14285714285714285,0.8571428571428571,17,24,0.7083333333333334,0.875,6.714285714285714,2.0,1.25,1.0
10-word,test,1,36,4,0.1111111111111111,0.027777777777777776,0.2222222222222222,100,136,0.7352941176470589,0.7647058823529411,1.0,1.0,1.0,1.0
10-word,test,3,36,7,0.19444444444444445,0.08333333333333333,0.3333333333333333,100,136,0.7352941176470589,0.7867647058823529,2.7222222222222223,3.0,1.5714285714285714,1.0
10-word,test,5,36,9,0.25,0.1111111111111111,0.3888888888888889,100,136,0.7352941176470589,0.8014705882352942,4.277777777777778,5.0,2.111111111111111,2.0
10-word,test,10,36,17,0.4722222222222222,0.3055555555555556,0.6388888888888888,100,136,0.7352941176470589,0.8602941176470589,7.444444444444445,10.0,4.588235294117647,4.0
10-word,test,14,36,18,0.5,0.3333333333333333,0.6666666666666666,100,136,0.7352941176470589,0.8676470588235294,9.527777777777779,13.5,5.055555555555555,5.0
30-word,dev,1,36,5,0.1388888888888889,0.027777777777777776,0.25,29,65,0.4461538461538462,0.5230769230769231,1.0,1.0,1.0,1.0
30-word,dev,3,36,10,0.2777777777777778,0.1388888888888889,0.4166666666666667,29,65,0.4461538461538462,0.6,2.638888888888889,3.0,1.7,1.5
30-word,dev,5,36,11,0.3055555555555556,0.16666666666666666,0.4444444444444444,29,65,0.4461538461538462,0.6153846153846154,4.055555555555555,5.0,1.9090909090909092,2.0
