experiment,config,epsilon,steps,dev_repairs,dev_repair_rate,test_repairs,test_repair_rate
10-word,"eps=0.00018,K=3",0.00018,3,3,0.42857142857142855,4,0.1111111111111111
10-word,"eps=0.00008,K=3",8e-05,3,2,0.2857142857142857,3,0.08333333333333333
10-word,"eps=0.00010,K=2",0.0001,2,2,0.2857142857142857,2,0.05555555555555555
10-word,"eps=0.00012,K=3",0.00012,3,2,0.2857142857142857,2,0.05555555555555555
10-word,"eps=0.00014,K=2",0.00014,2,2,0.2857142857142857,2,0.05555555555555555
10-word,"eps=0.00016,K=2",0.00016,2,2,0.2857142857142857,6,0.16666666666666666
10-word,"eps=0.00012,K=2",0.00012,2,1,0.14285714285714285,6,0.16666666666666666
10-word,"eps=0.00014,K=3",0.00014,3,1,0.14285714285714285,6,0.16666666666666666
10-word,"eps=0.00016,K=3",0.00016,3,1,0.14285714285714285,3,0.08333333333333333
10-word,"eps=0.00008,K=2",8e-05,2,0,0.0,4,0.1111111111111111
10-word,"eps=0.00010,K=3",0.0001,3,0,0.0,3,0.08333333333333333
10-word,"eps=0.00018,K=2",0.00018,2,0,0.0,7,0.19444444444444445
10-word,"eps=0.00020,K=2",0.0002,2,0,0.0,8,0.2222222222222222
10-word,"eps=0.00020,K=3",0.0002,3,0,0.0,4,0.1111111111111111
30-word,"eps=0.00008,K=3",8e-05,3,5,0.1388888888888889,17,0.07692307692307693
30-word,"eps=0.00010,K=2",0.0001,2,5,0.1388888888888889,15,0.06787330316742081
30-word,"eps=0.00010,K=3",0.0001,3,5,0.1388888888888889,14,0.06334841628959276
30-word,"eps=0.00018,K=3",0.00018,3,5,0.1388888888888889,24,0.1085972850678733
30-word,"eps=0.00014,K=2",0.00014,2,4,0.1111111111111111,15,0.06787330316742081
30-word,"eps=0.00016,K=2",0.00016,2,4,0.1111111111111111,23,0.10407239819004525
30-word,"eps=0.00016,K=3",0.00016,3,4,0.1111111111111111,23,0.10407239819004525
30-word,"eps=0.00008,K=2",8e-05,2,3,0.08333333333333333,12,0.05429864253393665
30-word,"eps=0.00012,K=2",0.00012,2,3,0.08333333333333333,18,0.08144796380090498
30-word,"eps=0.00012,K=3",0.00012,3,3,0.08333333333333333,14,0.06334841628959276
30-word,"eps=0.00018,K=2",0.00018,2,3,0.08333333333333333,25,0.11312217194570136
30-word,"eps=0.00020,K=3",0.0002,3,3,0.08333333333333333,25,0.11312217194570136
30-word,"eps=0.00014,K=3",0.00014,3,2,0.05555555555555555,22,0.09954751131221719
30-word,"eps=0.00020,K=2",0.0002,2,1,0.027777777777777776,22,0.09954751131221719
50-word,"eps=0.00014,K=2",0.00014,2,7,0.1346153846153846,25,0.07692307692307693
50-word,"eps=0.00016,K=2",0.00016,2,7,0.1346153846153846,30,0.09230769230769231
50-word,"eps=0.00018,K=3",0.00018,3,7,0.1346153846153846,39,0.12
50-word,"eps=0.00010,K=2",0.0001,2,6,0.11538461538461539,30,0.09230769230769231
50-word,"eps=0.00010,K=3",0.0001,3,6,0.11538461538461539,27,0.08307692307692308
50-word,"eps=0.00008,K=3",8e-05,3,5,0.09615384615384616,31,0.09538461538461539
50-word,"eps=0.00012,K=3",0.00012,3,5,0.09615384615384616,23,0.07076923076923076
50-word,"eps=0.00016,K=3",0.00016,3,5,0.09615384615384616,37,0.11384615384615385
50-word,"eps=0.00018,K=2",0.00018,2,5,0.09615384615384616,29,0.08923076923076922
50-word,"eps=0.00012,K=2",0.00012,2,4,0.07692307692307693,21,0.06461538461538462
50-word,"eps=0.00020,K=2",0.0002,2,4,0.07692307692307693,33,0.10153846153846154
50-word,"eps=0.00020,K=3",0.0002,3,4,0.07692307692307693,29,0.08923076923076922
50-word,"eps=0.00008,K=2",8e-05,2,3,0.057692307692307696,20,0.06153846153846154
50-word,"eps=0.00014,K=3",0.00014,3,3,0.057692307692307696,37,0.11384615384615385
100-word,"eps=0.00018,K=3",0.00018,3,13,0.16049382716049382,51,0.09568480300187618
100-word,"eps=0.00010,K=3",0.0001,3,12,0.14814814814814814,43,0.08067542213883677
100-word,"eps=0.00012,K=3",0.00012,3,10,0.12345679012345678,32,0.0600375234521576
100-word,"eps=0.00016,K=3",0.00016,3,9,0.1111111111111111,49,0.09193245778611632
100-word,"eps=0.00018,K=2",0.00018,2,8,0.09876543209876543,43,0.08067542213883677
100-word,"eps=0.00020,K=2",0.0002,2,8,0.09876543209876543,42,0.07879924953095685
100-word,"eps=0.00020,K=3",0.0002,3,8,0.09876543209876543,49,0.09193245778611632
100-word,"eps=0.00008,K=2",8e-05,2,7,0.08641975308641975,41,0.07692307692307693
100-word,"eps=0.00008,K=3",8e-05,3,7,0.08641975308641975,56,0.1050656660412758
100-word,"eps=0.00014,K=3",0.00014,3,7,0.08641975308641975,50,0.09380863039399624
100-word,"eps=0.00016,K=2",0.00016,2,7,0.08641975308641975,47,0.08818011257035648
100-word,"eps=0.00010,K=2",0.0001,2,6,0.07407407407407407,51,0.09568480300187618
100-word,"eps=0.00012,K=2",0.00012,2,6,0.07407407407407407,44,0.0825515947467167
100-word,"eps=0.00014,K=2",0.00014,2,6,0.07407407407407407,50,0.09380863039399624
Full lexicon,"eps=0.00020,K=3",0.0002,3,17,0.11486486486486487,60,0.04950495049504951
Full lexicon,"eps=0.00018,K=3",0.00018,3,16,0.10810810810810811,68,0.056105610561056105
Full lexicon,"eps=0.00014,K=3",0.00014,3,15,0.10135135135135136,75,0.06188118811881188
Full lexicon,"eps=0.00010,K=3",0.0001,3,13,0.08783783783783784,82,0.06765676567656766
