index,speaker,target_word,condition,random_seed,target_ctc_loss,raw_prediction,mapped_prediction,mapped_correct,target_rank,perturbation_linf,perturbation_rms
0,F03,yankee,original,-1,136.0810089111328,into,in,0,310,0.00014001131057739258,8.017189468579655e-05
0,F03,yankee,adversarial,-1,129.00233459472656,intu,in,0,309,0.00014001131057739258,8.017189468579655e-05
0,F03,yankee,random,0,138.66854858398438,into,in,0,310,0.00014001131057739258,8.017189468639797e-05
0,F03,yankee,random,1,135.33314514160156,into,in,0,310,0.00014001131057739258,8.01718947245921e-05
0,F03,yankee,random,2,137.15924072265625,into,in,0,310,0.00014001131057739258,8.017189464192729e-05
0,F03,yankee,random,3,136.27854919433594,into,in,0,310,0.00014001131057739258,8.017189468244684e-05
0,F03,yankee,random,4,136.18516540527344,into,in,0,310,0.00014001131057739258,8.017189468190285e-05
1,F03,hitting,original,-1,224.13291931152344,harry,hair,0,301,0.0001800060272216797,0.00013990541937965937
1,F03,hitting,adversarial,-1,191.38043212890625,helling,hitting,1,1,0.0001800060272216797,0.00013990541937965937
1,F03,hitting,random,0,224.3731689453125,harry,hair,0,301,0.0001800060272216797,0.0001399054193918234
1,F03,hitting,random,1,224.46299743652344,harry,hair,0,301,0.0001800060272216797,0.00013990541932486065
1,F03,hitting,random,2,224.3959197998047,harry,hair,0,301,0.0001800060272216797,0.00013990541937716237
1,F03,hitting,random,3,223.25865173339844,harry,hair,0,301,0.0001800060272216797,0.0001399054194378109
1,F03,hitting,random,4,223.80789184570312,harry,hair,0,301,0.0001800060272216797,0.00013990541939750965
2,M02,fitting,original,-1,164.08900451660156,fe do,fed,0,295,0.00016000866889953613,9.605619008248421e-05
2,M02,fitting,adversarial,-1,164.45394897460938,frifting,fitting,1,1,0.00016000866889953613,9.605619008248421e-05
2,M02,fitting,random,0,163.9275665283203,fe din,fed,0,9,0.00016000866889953613,9.605619008119773e-05
2,M02,fitting,random,1,164.6888885498047,fedin,fed,0,47,0.00016000866889953613,9.605619009603988e-05
2,M02,fitting,random,2,163.90663146972656,fe do,fed,0,295,0.00016000866889953613,9.605619010873463e-05
2,M02,fitting,random,3,164.2151641845703,fedin,fed,0,47,0.00016000866889953613,9.605619006823416e-05
2,M02,fitting,random,4,164.4247283935547,fedon,fed,0,158,0.00016000866889953613,9.605619008354628e-05
3,M02,though,original,-1,168.780517578125,lo,go,0,281,0.00010000169277191162,5.58313120646473e-05
3,M02,though,adversarial,-1,159.6038818359375,no,no,0,275,0.00010000169277191162,5.58313120646473e-05
3,M02,though,random,0,167.54940795898438,lo,go,0,281,0.00010000169277191162,5.583131205549944e-05
3,M02,though,random,1,168.5912322998047,lo,go,0,281,0.00010000169277191162,5.583131207534116e-05
3,M02,though,random,2,167.13723754882812,lo,go,0,281,0.00010000169277191162,5.5831312070358956e-05
3,M02,though,random,3,167.37107849121094,lo,go,0,281,0.00010000169277191162,5.5831312080427725e-05
3,M02,though,random,4,166.84130859375,lo,go,0,281,0.00010000169277191162,5.583131204658972e-05
