index,speaker,split,utt_id,target_word,epsilon,steps,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_to_signal_rms_ratio,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,perturbation_energy_fraction_0-0.5 kHz,perturbation_energy_fraction_0.5-2 kHz,perturbation_energy_fraction_2-4 kHz,perturbation_energy_fraction_4-8 kHz
0,F03,test,160,yankee,0.00014,3,1.215,0.03991718281089155,0.00014001131057739258,8.017189495145934e-05,53.942754684905125,0.0020084557402579055,4915.105103023777,7468.75,1.444793720828223,7.696015189609515,0.028460433746453476,0.14400610913049344,0.18601195308058358,0.6342687653294911
1,F03,test,138,hitting,0.00018,3,1.265,0.11480718909080227,0.0001800060272216797,0.00013990541836835543,58.28269098804044,0.0012186120004880766,4639.991443661439,7359.375,1.0653631096024205,4.258788205946656,0.01873043850482727,0.1544689531960166,0.2649244303414716,0.5547368592058202
2,M02,test,221,fitting,0.00016,3,3.165,0.1401053005403761,0.00016000866889953613,9.605618942196928e-05,63.27858424023083,0.0006855999669640438,4539.601087046342,7218.75,1.3002574851963382,6.296894109607127,0.01993381961113259,0.16831618593510977,0.2373946560470493,0.5677282349040188
3,M02,test,193,though,0.0001,3,1.3730625,0.07429364918630287,0.00010000169277191162,5.5831312334385956e-05,62.48147709032466,0.0007514950866712748,4642.520034109267,7265.625,2.245826948935783,8.26950730181225,0.024746661930360694,0.11997726072469217,0.2565898320939967,0.5909170143783767
4,F03,test,7,stubble,0.00016,3,0.9216875,0.030909180599454463,0.0001600012183189392,9.265305035423337e-05,50.464555404374224,0.002997589989683151,4233.197971607653,7265.625,1.2491248315062304,5.359804653178152,0.03125685234216405,0.1641704257055436,0.31996970784479645,0.476718487020363
5,F04,dev,163,eight,0.00014,3,4.595,0.05549515877882891,0.00014001131057739258,9.337767981756038e-05,55.480240392368316,0.0016826274917008336,4435.654765240908,7390.625,0.9077120465184715,3.142325331768015,0.027063053406043334,0.22707935823948103,0.2020532298947045,0.5347251104040992
6,M02,test,166,single,0.0001,3,2.212125,0.042528648652599144,0.00010000169277191162,5.847962783910753e-05,57.23353966192165,0.0013750643317356744,4194.770611220051,7140.625,1.680050731269473,6.497561847333254,0.027701925483343614,0.185617360487333,0.28638898380930083,0.4929645129189692
7,M03,test,272,thought,8e-05,3,2.52,0.08299405969415354,8.000433444976807e-05,3.9438723123768544e-05,66.46248326280607,0.0004751993488342007,4649.427839891818,7218.75,0.9494666100090671,4.329230560924195,0.02961221451006578,0.14154723069904607,0.2248518929089293,0.5977842499192094
8,M02,test,39,sticks,0.00012,2,2.549625,0.042307871078833485,0.0001200009137392044,8.83738721461766e-05,53.601945761013084,0.0020888281516578083,4224.926278047156,7187.5,2.1490119368050475,8.662301495310587,0.05198861759161479,0.18597150707390747,0.22599241886151064,0.5275451884454139
9,M04,test,212,urgent,0.0002,3,2.52,0.15154544377072365,0.00020000338554382324,0.00011815127160122025,62.162089674214734,0.0007796425195070452,5087.1413796950155,7406.25,2.068456189699187,10.825004910199766,0.019815049181362773,0.12238762744586372,0.18155232088340983,0.6693201305752833
10,M03,test,17,warm,0.00018,2,2.8,0.11141527605303062,0.0001800060272216797,0.000124767372198256,59.01687424849225,0.001119840802969156,4787.576249041191,7265.625,2.3495690083617693,12.292198977998286,0.02216629684949988,0.11194724225917979,0.24265668927192277,0.616948560520169
11,M02,test,204,urgent,0.00016,3,2.288375,0.06848110722775687,0.00016000866889953613,8.995406698841927e-05,57.630999403662315,0.0013135603472246276,4663.556987114397,7281.25,2.847470865247539,10.403126819098802,0.02343242128750728,0.13172005630096428,0.23716901380085478,0.6016328405965764
12,F01,dev,49,two,0.0001,3,1.5843125,0.025005461054480583,0.00010000169277191162,5.846165254054331e-05,52.623275582214276,0.0023379553935506383,4731.861138472513,7359.375,2.6824356978773425,11.630540929759613,0.023351404566328813,0.14215883764445983,0.23258764294541753,0.5934179505514774
13,M05,test,116,side,0.00014,3,3.3750625,0.10905255947203,0.00014001131057739258,8.12148448037644e-05,62.56000888443647,0.0007447312121509127,4842.231608841709,7312.5,1.8473226900159199,9.633372634494105,0.030300110377144203,0.14298182251326255,0.18384323718939383,0.6354418516111078
14,F03,test,173,red,8e-05,2,1.45,0.037872841413280366,8.00006091594696e-05,5.994871010650962e-05,56.01096092676304,0.0015828944401696833,4685.567800900977,7296.875,1.209096861909094,5.3917759660804485,0.02214603860837602,0.13161723531876668,0.24393443083610203,0.5957357594090571
15,M05,test,71,forward,0.0002,2,3.13,0.04855313203560781,0.00020000338554382324,0.000135302458865233,51.09823122404951,0.0027866885861452793,4572.456771530237,7234.375,2.9825065469028194,14.714478326647836,0.029806835191883423,0.1588170938391165,0.22158976181054302,0.5832668474553755
16,M03,test,237,light,0.0002,3,2.39,0.0644097814196254,0.00020000338554382324,0.0001303497484641834,53.876832557874025,0.002023757038002715,4708.151477732533,7312.5,2.2499938183953025,12.1290416610805,0.0242732562044361,0.16623810771936484,0.20461561859511077,0.5993712293028348
17,F01,dev,37,rake,0.0002,3,1.8171875,0.022925385285890405,0.00020000338554382324,0.00011677724194890007,45.85916858691051,0.005093796265259344,5022.324116876533,7500.0,4.173581858343516,17.356719431764915,0.02573602660778328,0.12279225296042591,0.19692915012091539,0.6470986937297571
18,M01,test,281,pit,0.00016,2,2.2244375,0.045446045698870056,0.0001600012183189392,0.00011085838383741498,52.25455115926144,0.0024393405880012856,4788.7384916102255,7390.625,3.007911549788163,10.44863703755054,0.02517715079171064,0.13644354678161558,0.2113881710191599,0.6196584834933575
19,M01,test,171,cart,0.00012,2,1.66125,0.07553067425846707,0.00011999999696854502,8.356896322925997e-05,59.12156694739111,0.001106424165409748,5308.662970871854,7484.375,2.238724707321308,8.509926278513245,0.023876445975001048,0.0957703753808059,0.13738488111258002,0.7358065319050556
