condition,n,finite_loss_n,mean_target_loss,median_target_loss,mapped_accuracy,median_target_rank,median_snr_db
original,1103,1093,121.9707766338324,118.32573699951172,0.0,37.0,inf
random,5515,5465,121.94479589854919,118.0508804321289,0.011604714415231188,36.0,55.31308961372676
remove_0-0.5k,1103,1093,112.45925511729249,108.15189361572266,0.05439709882139619,49.0,55.64789059972101
remove_0.5-2k,1103,1093,112.95149632669433,108.5542221069336,0.05802357207615594,45.0,56.23455096795841
remove_2-4k,1103,1093,113.12481114281937,109.32852935791016,0.05439709882139619,45.0,56.57269539715993
remove_4-8k,1103,1093,115.47742709956471,111.5634307861328,0.033544877606527655,40.0,59.49711083322404
retain_0-0.5k,1103,1093,121.69759624373008,118.0930633544922,0.0009066183136899365,37.0,70.96888659385749
retain_0.5-2k,1103,1093,118.71763398640765,114.80538177490234,0.011786038077969175,37.0,63.50622457732327
retain_2-4k,1103,1093,117.46720442287658,113.13262176513672,0.02901178603807797,40.0,61.99259932210529
retain_4-8k,1103,1093,114.29887731121094,110.37406158447266,0.04261106074342702,42.0,57.68196861415797
targeted,1103,1093,112.37533025924809,108.03392028808594,0.05802357207615594,50.0,55.31309013522773
