experiment,split,speaker,n,raw_exact_accuracy,raw_wer,mapped_top1_accuracy,failed_inputs,failed_target_recall_at_5,failed_target_recall_at_10
10-word,dev,F01,12,0.25,0.8333333333333334,0.75,3,0.6666666666666666,1.0
10-word,dev,F04,12,0.9166666666666666,0.08333333333333333,1.0,0,,
10-word,test,F03,26,0.5769230769230769,0.4230769230769231,0.7307692307692307,7,1.0,1.0
10-word,test,M01,22,0.45454545454545453,0.7727272727272727,0.5909090909090909,9,0.6666666666666666,1.0
10-word,test,M02,22,0.5,0.7272727272727273,0.6363636363636364,8,0.5,1.0
10-word,test,M03,23,0.9130434782608695,0.08695652173913043,0.9130434782608695,2,1.0,1.0
10-word,test,M04,17,0.35294117647058826,0.6470588235294118,0.6470588235294118,6,0.5,1.0
10-word,test,M05,26,0.3076923076923077,1.3076923076923077,0.7307692307692307,7,0.5714285714285714,1.0
100-word,dev,F01,75,0.18666666666666668,0.92,0.21333333333333335,59,0.3220338983050847,0.4406779661016949
100-word,dev,F04,69,0.6811594202898551,0.36231884057971014,0.782608695652174,15,0.3333333333333333,0.4
100-word,test,F03,164,0.4573170731707317,0.5609756097560976,0.5914634146341463,67,0.22388059701492538,0.3283582089552239
100-word,test,M01,137,0.18248175182481752,0.9854014598540146,0.30656934306569344,95,0.2736842105263158,0.42105263157894735
100-word,test,M02,139,0.2589928057553957,0.8776978417266187,0.37410071942446044,87,0.2413793103448276,0.4482758620689655
100-word,test,M03,141,0.8014184397163121,0.19858156028368795,0.8723404255319149,18,0.05555555555555555,0.2777777777777778
100-word,test,M04,137,0.1897810218978102,2.6496350364963503,0.2773722627737226,99,0.2222222222222222,0.42424242424242425
100-word,test,M05,162,0.2777777777777778,0.9567901234567902,0.48148148148148145,84,0.2619047619047619,0.4523809523809524
30-word,dev,F01,35,0.17142857142857143,0.8571428571428571,0.34285714285714286,23,0.43478260869565216,0.6521739130434783
30-word,dev,F04,30,0.7,0.36666666666666664,0.9333333333333333,2,0.5,0.5
30-word,test,F03,75,0.36,0.6533333333333333,0.5866666666666667,31,0.3548387096774194,0.5483870967741935
30-word,test,M01,66,0.19696969696969696,0.9545454545454546,0.2878787878787879,47,0.425531914893617,0.6170212765957447
30-word,test,M02,69,0.2608695652173913,0.855072463768116,0.4492753623188406,38,0.3684210526315789,0.6578947368421053
30-word,test,M03,68,0.7205882352941176,0.27941176470588236,0.8382352941176471,11,0.2727272727272727,0.6363636363636364
30-word,test,M04,59,0.22033898305084745,0.7966101694915254,0.4067796610169492,35,0.2857142857142857,0.5714285714285714
30-word,test,M05,78,0.24358974358974358,1.0256410256410255,0.5769230769230769,33,0.5454545454545454,0.696969696969697
50-word,dev,F01,47,0.2127659574468085,0.8085106382978723,0.2978723404255319,33,0.30303030303030304,0.45454545454545453
50-word,dev,F04,43,0.6744186046511628,0.37209302325581395,0.8372093023255814,7,0.2857142857142857,0.42857142857142855
50-word,test,F03,111,0.44144144144144143,0.5765765765765766,0.5945945945945946,45,0.26666666666666666,0.4444444444444444
50-word,test,M01,86,0.20930232558139536,0.9186046511627907,0.313953488372093,59,0.3559322033898305,0.4745762711864407
50-word,test,M02,89,0.25842696629213485,0.8426966292134831,0.4044943820224719,53,0.32075471698113206,0.4528301886792453
50-word,test,M03,91,0.7582417582417582,0.24175824175824176,0.8461538461538461,14,0.21428571428571427,0.21428571428571427
50-word,test,M04,86,0.19767441860465115,2.1744186046511627,0.36046511627906974,55,0.23636363636363636,0.509090909090909
50-word,test,M05,107,0.29906542056074764,0.9345794392523364,0.5514018691588785,48,0.375,0.5416666666666666
Full lexicon,dev,F01,94,0.14893617021276595,0.9574468085106383,0.1595744680851064,79,0.1518987341772152,0.25316455696202533
Full lexicon,dev,F04,176,0.7102272727272727,0.3181818181818182,0.7727272727272727,40,0.275,0.375
Full lexicon,test,F03,401,0.44139650872817954,0.5910224438902744,0.513715710723192,195,0.22564102564102564,0.28717948717948716
Full lexicon,test,M01,279,0.17562724014336917,1.021505376344086,0.23655913978494625,213,0.12206572769953052,0.20657276995305165
Full lexicon,test,M02,293,0.22525597269624573,0.9658703071672355,0.2832764505119454,210,0.18571428571428572,0.2761904761904762
Full lexicon,test,M03,306,0.8398692810457516,0.16339869281045752,0.8725490196078431,39,0.23076923076923078,0.28205128205128205
Full lexicon,test,M04,207,0.18357487922705315,2.642512077294686,0.2222222222222222,161,0.19254658385093168,0.2608695652173913
Full lexicon,test,M05,358,0.2737430167597765,1.589385474860335,0.39385474860335196,217,0.20276497695852536,0.2857142857142857
