sample_id,index,speaker,utt_id,target_word,mapped_correct,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
F03||5||beta,0,F03,5,beta,1,1.142875,0.0356469531553297,0.0002000033855438,0.0001624678145205,46.82510153861745,4462.45506909508,7390.625,2.3340933368965717,9.254072983465196,0.0327294247017236,0.1631655842700044,0.2596016482855587,0.5396292107028677
F03||7||stubble,1,F03,7,stubble,1,0.9216875,0.0309091805994544,0.0002000033855438,0.0001670723916982,45.34365604734623,4207.471927204155,7515.625,2.100266753332864,8.956499123552952,0.0324144108448904,0.215973973030701,0.2685125217650524,0.4770385011502459
F03||10||form,2,F03,10,form,1,1.4930625,0.0203991032743758,0.0002000033855438,0.0001617561837399,42.01500368923105,4421.535441744297,7343.75,2.7400626244180866,9.775717929854968,0.0245987968054461,0.1647922170449094,0.2787569259950444,0.527721971348625
F03||22||for,3,F03,22,for,1,1.9483125,0.0202259553136726,0.0002000033855438,0.0001626307208221,41.894129129654864,4154.488988807332,7093.75,2.710772450796631,10.33690619434157,0.0304725887604775,0.1866564397791521,0.2764729106888501,0.5006856630174151
F03||27||know,4,F03,27,know,0,1.0205625,0.0295362898108338,0.0002000033855438,0.0001650449535743,45.05507381646844,4324.497386229197,7718.75,2.804241036746015,11.325018604487468,0.0265376845736357,0.1889300407296709,0.3119931889880442,0.4669040637036276
F03||36||hair,5,F03,36,hair,1,3.5254375,0.0213823883890564,0.0002000033855438,0.000162236097665,42.39817444575927,4219.011130956165,7078.125,3.036749485741763,11.32642073175323,0.0318485017723348,0.1506519782241524,0.3219962892521254,0.4909159387619959
F03||39||chair,6,F03,39,chair,1,2.36575,0.0141401221357432,0.0002000033855438,0.0001638236906393,38.721529103305855,4040.602492561192,7250.0,2.815378656409776,10.801796216771738,0.0363589750952747,0.1985798717673381,0.3066859386319684,0.453177890943697
F03||41||two,7,F03,41,two,1,2.412125,0.0214566566026266,0.0002000033855438,0.0001650426512077,42.27931718557032,3920.075086703952,6828.125,2.96701107299788,10.810738533956709,0.0294016030831924,0.1723511418328309,0.3732560062208843,0.419780332085116
F03||47||bug,8,F03,47,bug,1,2.829625,0.0158459010592044,0.0002000033855438,0.0001636434521076,39.72036614793811,4639.643389354345,7562.5,3.0654438107676234,11.70754046354736,0.0270804595200206,0.1231775233445755,0.2745730298868783,0.5699271234430239
F03||52||feed,9,F03,52,feed,1,2.7070625,0.0119497311925848,0.0002000033855438,0.0001604216962458,37.44190063780949,4467.998110254689,7375.0,2.825574744740291,10.120386032209892,0.0236725254080882,0.1195999811843368,0.3159077191143938,0.536343686445635
