speaker,split,utt_id,target_word,condition,epsilon,steps,raw_prediction,mapped_prediction,mapped_correct,target_rank,top3_hit,top5_hit,top10_hit,target_distance,duration_sec,wav_head_path,baseline_raw_prediction,baseline_mapped_prediction,baseline_target_rank,baseline_target_distance
F01,dev,52,spark,baseline_wrong,0,0,mike,bit,0,10,0,0,1,5,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,,,,
F01,dev,52,spark,pgd_wrong_subset,8e-05,2,mok,no,0,8,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,8e-05,3,munk,dark,0,6,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.0001,2,mok,no,0,8,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.0001,3,munk,dark,0,6,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00012,2,mak,dark,0,6,0,0,1,3,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00012,3,wo,no,0,10,0,0,1,5,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00014,2,moke,no,0,10,0,0,1,5,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00014,3,mok,no,0,8,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00016,2,moke,no,0,10,0,0,1,5,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00016,3,mok,no,0,8,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00018,2,moke,no,0,10,0,0,1,5,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.00018,3,mok,no,0,8,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.0002,2,mok,no,0,8,0,0,1,4,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,52,spark,pgd_wrong_subset,0.0002,3,mo,no,0,10,0,0,1,5,1.4675625,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0052.wav,mike,bit,10,5
F01,dev,62,sip,baseline_wrong,0,0,so,no,0,2,1,1,1,2,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,,,,
F01,dev,62,sip,pgd_wrong_subset,8e-05,2,saint,bit,0,3,1,1,1,3,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,8e-05,3,sam,sip,1,1,1,1,1,2,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.0001,2,slaint,bit,0,3,1,1,1,4,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.0001,3,en,no,0,4,0,1,1,3,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00012,2,sir,sip,1,1,1,1,1,1,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00012,3,sen,sip,1,1,1,1,1,2,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00014,2,sir,sip,1,1,1,1,1,1,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00014,3,plan,park,0,6,0,0,1,4,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00016,2,sir,sip,1,1,1,1,1,1,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00016,3,slaint,bit,0,3,1,1,1,4,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00018,2,slerp,sheet,0,2,1,1,1,3,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.00018,3,sir,sip,1,1,1,1,1,1,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.0002,2,slerp,sheet,0,2,1,1,1,3,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,62,sip,pgd_wrong_subset,0.0002,3,slerp,sheet,0,2,1,1,1,3,1.067375,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0062.wav,so,no,2,2
F01,dev,72,sheet,baseline_wrong,0,0,say it,bit,0,2,1,1,1,4,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,,,,
F01,dev,72,sheet,pgd_wrong_subset,8e-05,2,say,sip,0,8,0,0,1,4,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,8e-05,3,sa,no,0,8,0,0,1,4,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.0001,2,see,sheet,1,1,1,1,1,2,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.0001,3,same,dark,0,3,1,1,1,3,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00012,2,se,no,0,5,0,1,1,3,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00012,3,sa,no,0,8,0,0,1,4,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00014,2,se,no,0,5,0,1,1,3,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00014,3,say,sip,0,8,0,0,1,4,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00016,2,he,no,0,4,0,1,1,3,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00016,3,say,sip,0,8,0,0,1,4,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00018,2,h,no,0,8,0,0,1,4,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.00018,3,ki,bit,0,9,0,0,1,5,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.0002,2,q,no,0,9,0,0,1,5,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,72,sheet,pgd_wrong_subset,0.0002,3,the,bit,0,3,1,1,1,3,1.5211875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0072.wav,say it,bit,2,4
F01,dev,100,floor,baseline_wrong,0,0,bol,bit,0,6,0,0,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,,,,
F01,dev,100,floor,pgd_wrong_subset,8e-05,2,bol,bit,0,6,0,0,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,8e-05,3,bar,bit,0,8,0,0,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,0.0001,2,bol,bit,0,6,0,0,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,0.0001,3,bol,bit,0,6,0,0,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,0.00012,2,bol,bit,0,6,0,0,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,0.00012,3,brol,bit,0,4,0,1,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,0.00014,2,bul,bit,0,7,0,0,1,5,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,0.00014,3,bol,bit,0,6,0,0,1,4,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
F01,dev,100,floor,pgd_wrong_subset,0.00016,2,bul,bit,0,7,0,0,1,5,1.981875,D:\audio_adv_experiment\datasets\TORGO.F\F01\Session1\wav_headMic\0100.wav,bol,bit,6,4
